device_id,gpt_clean_vendor,gpt_clean_type,gpt_generic_category,vendor_name,man_generic_category,inspected,validate
0,amazon,Doorbell,Surveillance,apple,Media/TV,1,FALSE
0,amazon,VoIP Adaptor,Work Appliance,grandstream,Work Appliance,1,FALSE
0,amc,IP Camera,Surveillance,amcrest,Surveillance,1,FALSE
0,amc,IP Camera,Surveillance,amcrest,Surveillance,1,FALSE
0,amc,IP Camera,Surveillance,amcrest,Surveillance,1,FALSE
0,amc,Security Camera,Surveillance,amcrest,Surveillance,1,FALSE
0,apple,Google Cast,Media/TV,google,Media/TV,1,FALSE
0,aqara,Smart Home Hub,Home Automation,xiaomi,Home Automation,1,FALSE
0,askey,InternetGatewayDevice,Router,swisscom,Router,1,FALSE
0,asus,Computer,Computer,asustek,Computer,1,FALSE
0,asus,Desktop Computer,Computer,asustek,Computer,1,FALSE
0,asus,Desktop PC,Computer,asustek,Computer,1,FALSE
0,asus,Router,Router,asustek,Router,1,FALSE
0,asus,Streaming Device,Media/TV,asustek,Computer,1,FALSE
0,avm,hp_printer,Work Appliance,hp,Work Appliance,1,FALSE
0,axiscommunications,Network Camera,Surveillance,axis,Surveillance,1,FALSE
0,axiscommunications,Security Camera,Surveillance,axis,Surveillance,1,FALSE
0,azurewave,Media Streaming Device,Media/TV,google,Media/TV,1,FALSE
0,azurewave,Media Streaming Device,Media/TV,google,Media/TV,1,FALSE
0,ciscolinksys,VoIP Router,Work Appliance,cisco,Work Appliance,1,FALSE
0,connect,ConnectSense Outlet,Home Automation,connectsense,Home Automation,1,FALSE
0,connect,Homekit,Home Automation,connectsense,Home Automation,1,FALSE
0,connect,Homekit,Home Automation,connectsense,Home Automation,1,FALSE
0,connect,Homekit,Home Automation,connectsense,Home Automation,1,FALSE
0,connect,Smart Outlet,Home Automation,connectsense,Home Automation,1,FALSE
0,devolo,WLANAccessPointDevice,Router,ubiquiti,Router,1,FALSE
0,devolo,WLANAccessPointDevice,Router,ubiquiti,Router,1,FALSE
