user_key,device_id,gpt_clean_vendor,gpt_clean_type,generic_category
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Voice Assistant,Voice Assistant
0,0,google,Media Streaming Device,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Router,Router
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Smart Speaker,Voice Assistant
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Media Player,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Internet Gateway Device,Router
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
0,0,google,Google Cast,Media/TV
